"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2013-01-01","2013","01","01","","-1.2","","-14.4","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","1","","39",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-02","2013","01","02","","-12.6","","-19.7","","-16.2","","34.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-03","2013","01","03","","-12.2","","-20.0","","-16.1","","34.1","","0.0","","","M","","M","1.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-04","2013","01","04","","0.0","","-12.9","","-6.5","","24.5","","0.0","","","M","","M","3.4","","","","26","","35",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-05","2013","01","05","","0.2","","-10.9","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","2","","33",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-06","2013","01","06","","-6.6","","-9.6","","-8.1","","26.1","","0.0","","","M","","M","5.6","","","","2","","32",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-07","2013","01","07","","-6.4","","-15.0","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-08","2013","01","08","","2.3","","-8.9","","-3.3","","21.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-09","2013","01","09","","4.9","","-3.4","","0.8","","17.2","","0.0","","","M","","M","1.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-10","2013","01","10","","3.8","","-0.5","","1.7","","16.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-11","2013","01","11","","3.2","","-2.2","","0.5","","17.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-12","2013","01","12","","5.8","","2.6","","4.2","","13.8","","0.0","","","M","","M","1.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-13","2013","01","13","","6.8","","3.6","","5.2","","12.8","","0.0","","","M","","M","6.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-14","2013","01","14","","7.8","","0.1","","4.0","","14.0","","0.0","","","M","","M","1.2","","","","24","","32",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-15","2013","01","15","","0.1","","-3.4","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-16","2013","01","16","","1.7","","-3.2","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-17","2013","01","17","","1.7","","-18.0","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","36","","33",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-18","2013","01","18","","-7.1","","-19.6","","-13.4","","31.4","","0.0","","","M","","M","0.0","","","","22","","32",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-19","2013","01","19","","0.8","","-7.4","","-3.3","","21.3","","0.0","","","M","","M","18.8","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-20","2013","01","20","","4.8","","-16.1","","-5.7","","23.7","","0.0","","","M","","M","1.3","","","","23","","44",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-21","2013","01","21","","-15.1","","-19.4","","-17.3","","35.3","","0.0","","","M","","M","","M","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-22","2013","01","22","","-14.9","","-22.8","","-18.9","","36.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-23","2013","01","23","","-21.9","","-27.4","","-24.7","","42.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-24","2013","01","24","","-17.4","","-23.4","","-20.4","","38.4","","0.0","","","M","","M","0.0","","","","23","","32",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-25","2013","01","25","","-14.4","","-20.7","","-17.6","","35.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-26","2013","01","26","","-11.1","","-18.6","","-14.9","","32.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-27","2013","01","27","","-10.7","","-17.2","","-14.0","","32.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-28","2013","01","28","","-6.5","","-13.2","E","-9.9","E","27.9","E","0.0","E","","M","","M","","M","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-29","2013","01","29","","2.1","","-10.6","","-4.3","","22.3","","0.0","","","M","","M","4.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2013-01-30","2013","01","30","","9.8","","2.0","","5.9","","12.1","","0.0","","","M","","M","4.4","","","","","","<31",""
