"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-01","1871","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-02","1871","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-03","1871","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-04","1871","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-05","1871","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-06","1871","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-07","1871","07","26.2","","16.9","","21.6","","35.0","","11.7","","126.2","","0.0","","126.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-08","1871","08","26.5","","17.0","","21.8","","32.2","","11.7","","95.5","","0.0","","95.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-09","1871","09","21.3","","10.7","","16.0","","32.8","","3.3","","33.0","","0.0","","33.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-10","1871","10","14.2","","6.4","","10.3","","28.3","","-1.1","","84.8","","0.5","","85.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-11","1871","11","3.5","","-3.8","","-0.2","","11.1","S","-21.7","","50.5","","23.9","","74.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-12","1871","12","-4.4","","-11.1","","-7.8","","7.8","","-30.6","","10.4","","64.8","","75.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-01","1872","01","-3.1","","-11.4","","-7.3","","5.6","","-23.3","","14.7","","34.5","","49.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-02","1872","02","-0.4","","-12.1","","-6.3","","7.2","","-18.9","","2.3","","81.0","","83.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-03","1872","03","-0.4","","-11.6","","-6.0","","11.1","","-28.9","S","2.5","","74.4","","77.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-04","1872","04","13.3","","1.1","","7.2","","26.7","","-3.9","","15.0","","21.1","","36.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-05","1872","05","20.4","","9.6","","15.0","","28.9","","3.3","","47.2","","0.0","","47.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-06","1872","06","24.9","","15.6","","20.3","","33.3","","7.8","S","56.9","","0.0","","56.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-07","1872","07","26.9","","18.0","","22.5","","34.4","","12.8","","86.4","","0.0","","86.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-08","1872","08","27.4","","18.1","","22.8","","34.4","","10.6","","83.6","","0.0","","83.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-09","1872","09","22.8","","12.6","","17.7","","28.9","","7.2","","162.6","","0.0","","162.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-10","1872","10","13.8","","4.7","","9.3","","25.0","","-0.6","S","155.7","","0.0","T","155.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-11","1872","11","4.1","","-1.6","","1.3","","11.1","S","-12.2","","74.2","","27.2","","101.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-12","1872","12","-6.7","","-14.1","","-10.4","","2.2","S","-27.8","","0.0","T","110.2","","110.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-01","1873","01","-6.2","","-13.4","","-9.8","","5.0","","-26.1","","27.2","","104.9","","132.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-02","1873","02","-3.1","","-12.6","","-7.9","","6.7","","-23.3","","2.3","","42.2","","44.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-03","1873","03","2.1","","-6.1","","-2.0","","7.2","S","-15.6","","45.2","","85.3","","130.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-04","1873","04","9.8","","1.2","","5.5","","21.7","","-1.7","","76.5","","0.0","T","76.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-05","1873","05","18.9","","7.8","","13.4","","27.2","","1.7","S","36.1","","0.0","T","36.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-06","1873","06","23.8","","13.5","","18.7","","29.4","","8.9","S","76.5","","0.0","","76.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-07","1873","07","26.4","","17.2","","21.8","","32.2","","12.2","","64.8","","0.0","","64.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-08","1873","08","26.1","","15.4","","20.8","","29.4","","9.4","","43.4","","0.0","","43.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-09","1873","09","20.9","","10.6","","15.8","","29.4","","4.4","S","118.1","","0.0","","118.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-10","1873","10","15.8","","5.3","","10.6","","27.2","","-3.3","","167.4","","1.3","","168.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-11","1873","11","0.6","","-6.3","","-2.9","","12.8","","-15.6","S","23.1","","110.7","","133.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1873-12","1873","12","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-01","1874","01","-5.2","","-11.4","","-8.3","","8.3","","-28.3","","97.0","","46.2","","143.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-02","1874","02","-5.1","","-14.5","","-9.8","","5.6","S","-27.8","","19.1","","44.5","","63.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-03","1874","03","0.2","","-9.1","","-4.5","","11.1","","-19.4","","28.7","","63.0","","91.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-04","1874","04","4.1","","-4.1","","0.0","","11.1","","-17.8","","27.2","","51.1","","78.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-05","1874","05","16.3","","6.2","","11.3","","28.9","","-1.1","","89.2","","2.3","","91.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-06","1874","06","21.3","","13.1","","17.2","","29.4","","7.2","","97.3","","0.0","","97.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-07","1874","07","24.3","","16.2","","20.3","","30.6","","12.2","","152.1","","0.0","","152.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-08","1874","08","23.8","","14.6","","19.2","","28.9","S","9.4","","39.4","","0.0","","39.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-09","1874","09","21.0","","12.5","","16.8","","28.9","","6.1","","78.5","","0.0","","78.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-10","1874","10","12.8","","4.7","","8.8","","18.9","S","0.6","","39.6","","0.0","","39.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-11","1874","11","2.9","","-3.6","","-0.4","","12.2","","-17.2","","10.9","","45.7","","56.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1874-12","1874","12","-5.1","","-14.4","","-9.8","","6.7","","-27.2","","1.5","","54.4","","55.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-01","1875","01","-10.4","","-18.3","","-14.4","","-1.1","","-25.0","","0.0","","88.9","","88.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-02","1875","02","-8.7","","-18.0","","-13.4","","6.1","","-31.1","","6.9","","36.6","","43.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-03","1875","03","-2.0","","-9.8","","-5.9","","5.0","","-23.3","","20.3","","37.6","","57.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-04","1875","04","6.6","","-1.9","","2.4","","16.1","","-11.7","","27.9","","18.5","","46.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-05","1875","05","16.3","","6.9","","11.6","","27.8","S","-1.1","","126.2","","4.1","","130.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-06","1875","06","22.8","","12.7","","17.8","","28.9","S","4.4","","82.8","","0.0","","82.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-07","1875","07","23.7","","15.7","","19.7","","26.7","S","10.0","S","92.5","","0.0","","92.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-08","1875","08","25.0","","16.1","","20.6","","30.6","","10.6","S","65.8","","0.0","","65.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-09","1875","09","17.3","","8.8","","13.1","","30.6","","1.1","","131.6","","0.0","","131.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-10","1875","10","8.6","","1.6","","5.1","","14.4","S","-2.8","S","113.3","","6.9","","120.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-11","1875","11","-0.6","","-8.0","","-4.3","","5.0","","-27.8","","21.6","","46.7","","68.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1875-12","1875","12","-4.3","","-12.9","","-8.6","","12.2","","-30.6","","17.3","","61.2","","78.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-01","1876","01","-3.2","","-12.1","","-7.7","","12.2","","-21.7","","36.3","","80.8","","117.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-02","1876","02","-5.0","","-14.7","","-9.9","","5.0","","-26.1","","22.6","","73.2","","95.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-03","1876","03","-0.3","","-7.9","","-4.1","","11.1","","-20.0","","18.8","","115.8","","134.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-04","1876","04","7.6","","-0.6","","3.5","","13.9","","-8.3","","27.4","","29.2","","56.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-05","1876","05","15.8","","6.0","","10.9","","27.2","","-0.6","","87.6","","1.3","","88.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-06","1876","06","24.2","","15.5","","19.9","","29.4","","8.9","","81.5","","0.0","","81.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-07","1876","07","25.7","","17.5","","21.6","","31.1","","10.0","","110.0","","0.0","","110.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-08","1876","08","26.2","","16.1","","21.2","","33.3","","8.9","","50.3","","0.0","","50.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-09","1876","09","17.2","","10.0","","13.6","","27.8","","5.0","S","139.4","","0.0","","139.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-10","1876","10","9.5","","2.3","","5.9","","20.0","","-3.9","","66.8","","2.3","","69.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-11","1876","11","3.8","","-0.8","","1.5","","12.2","","-13.3","","46.2","","0.0","T","46.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1876-12","1876","12","-7.8","","-15.4","","-11.6","","3.3","","-30.0","","0.0","","61.2","","61.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-01","1877","01","-7.5","","-16.7","","-12.1","","4.4","","-29.4","","3.0","","59.2","","62.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-02","1877","02","1.2","","-6.5","","-2.7","","8.9","","-16.7","","2.5","","9.9","","12.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-03","1877","03","0.2","","-7.9","","-3.9","","7.8","S","-22.2","","71.1","","61.7","","132.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-04","1877","04","12.2","","1.9","","7.1","","23.3","","-7.2","","51.6","","24.6","","76.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-05","1877","05","17.9","","8.6","","13.3","","26.1","","0.0","","15.7","","0.0","T","15.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-06","1877","06","22.9","","13.9","","18.4","","29.4","","9.4","","59.7","","0.0","","59.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-07","1877","07","26.3","","17.3","","21.8","","31.7","","12.8","","93.5","","0.0","","93.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-08","1877","08","25.3","","16.9","","21.1","","31.1","","13.3","","88.9","","0.0","","88.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-09","1877","09","21.8","","11.9","","16.9","","28.9","S","5.6","","22.4","","0.0","","22.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-10","1877","10","10.4","","4.0","","7.2","","26.1","","-5.0","","81.0","","13.7","","94.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-11","1877","11","5.1","","-1.2","","2.0","","11.1","S","-7.2","S","109.5","","13.0","","122.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1877-12","1877","12","0.6","","-6.8","","-3.1","","8.3","","-13.9","","29.7","","10.9","","40.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-01","1878","01","-5.4","","-14.3","","-9.9","","5.6","","-27.8","","10.2","","77.5","","87.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-02","1878","02","-1.3","","-9.9","","-5.6","","7.2","","-18.9","","7.1","","25.9","","33.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-03","1878","03","4.6","","-3.7","","0.5","","11.1","S","-17.8","","14.7","","49.3","","64.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-04","1878","04","13.1","","5.3","","9.2","","22.8","","-0.6","","90.2","","5.8","","96.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-05","1878","05","17.1","","8.6","","12.9","","24.4","","1.7","","104.4","","2.5","","106.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-06","1878","06","22.4","","13.3","","17.9","","32.2","","4.4","","30.0","","0.0","","30.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-07","1878","07","26.4","","18.1","","22.3","","32.8","S","12.2","","138.2","","0.0","","138.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-08","1878","08","24.4","","16.3","","20.4","","27.8","S","12.2","","95.5","","0.0","","95.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-09","1878","09","21.0","","12.4","","16.7","","28.9","","4.4","","40.4","","0.0","","40.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-10","1878","10","14.6","","6.6","","10.6","","23.3","S","-2.2","","136.9","","0.3","","137.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-11","1878","11","3.4","","-1.6","","0.9","","7.2","S","-7.2","","88.1","","37.1","","125.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1878-12","1878","12","-3.1","","-9.6","","-6.4","","8.3","","-18.3","","68.6","","83.3","","151.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-01","1879","01","-6.2","","-15.7","","-11.0","","2.2","","-26.1","","0.0","","100.6","","100.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-02","1879","02","-6.7","","-16.3","","-11.5","","2.8","","-26.1","","0.8","","67.6","","68.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-03","1879","03","0.8","","-8.9","","-4.1","","9.4","","-20.6","","31.2","","79.0","","110.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-04","1879","04","7.9","","-0.6","","3.7","","18.9","S","-12.8","","6.9","","17.5","","24.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-05","1879","05","19.7","","7.9","","13.8","","30.0","","0.6","","19.3","","0.0","","19.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-06","1879","06","21.0","","12.3","","16.7","","30.6","","3.3","","122.4","","0.0","","122.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-07","1879","07","23.9","","15.5","","19.7","","28.3","","11.1","S","124.0","","0.0","","124.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-08","1879","08","22.4","","14.2","","18.3","","29.4","S","8.3","","35.6","","0.0","","35.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-09","1879","09","18.1","","9.3","","13.7","","27.2","","0.6","","80.8","","0.0","","80.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-10","1879","10","16.4","","6.5","","11.5","","26.7","","-5.6","","43.2","","0.0","T","43.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-11","1879","11","3.7","","-5.0","","-0.7","","15.6","","-16.7","","71.4","","37.1","","108.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1879-12","1879","12","-3.1","","-15.4","","-9.3","","8.3","S","-31.7","","40.4","","87.1","","127.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-01","1880","01","0.8","","-12.1","","-5.7","","6.7","","-23.3","","30.7","","41.4","","72.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-02","1880","02","-1.2","","-13.1","","-7.2","","10.6","","-27.8","","29.0","","66.0","","95.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-03","1880","03","0.2","","-11.4","","-5.6","","10.0","","-23.9","S","1.0","","63.2","","64.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-04","1880","04","8.8","","-1.6","","3.6","","17.2","","-12.2","","80.5","","21.8","","102.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-05","1880","05","20.7","","8.4","","14.6","","29.4","S","-5.0","","75.4","","0.0","","75.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-06","1880","06","23.1","","14.6","","18.9","","30.0","","9.4","S","77.0","","0.0","","77.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-07","1880","07","25.6","","16.3","","21.0","","30.0","","11.7","","135.9","","0.0","","135.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-08","1880","08","24.3","","14.3","","19.3","","30.0","","7.2","","36.6","","0.0","","36.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-09","1880","09","21.4","","11.9","","16.7","","29.4","","4.4","","71.9","","0.0","","71.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-10","1880","10","12.3","","3.5","","7.9","","25.0","","-4.4","","112.8","","7.9","","120.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-11","1880","11","2.2","","-5.8","","-1.8","","15.0","","-16.7","","92.2","","32.5","","124.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1880-12","1880","12","-5.5","","-12.6","","-9.1","","5.0","","-22.8","","7.4","","44.7","","52.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-01","1881","01","-7.9","","-17.9","","-12.9","","1.7","","-26.1","","0.0","T","64.3","","64.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-02","1881","02","-3.6","","-12.3","","-8.0","","6.7","","-26.7","","51.6","","18.3","","69.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-03","1881","03","2.7","","-4.3","","-0.8","","7.8","","-12.2","","34.5","","77.7","","112.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-04","1881","04","9.2","","-0.8","","4.2","","23.3","","-13.3","","11.2","","1.0","","12.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-05","1881","05","18.7","","8.8","","13.8","","30.0","","0.0","S","82.6","","0.0","","82.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-06","1881","06","21.7","","10.9","","16.3","","27.8","S","3.3","","35.3","","0.0","","35.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-07","1881","07","26.0","","16.4","","21.2","","34.4","","12.2","S","84.1","","0.0","","84.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-08","1881","08","25.4","","16.3","","20.9","","32.8","","11.1","S","52.8","","0.0","","52.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-09","1881","09","22.4","","13.9","","18.2","","30.6","","5.6","","46.7","","0.0","","46.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-10","1881","10","11.8","","3.6","","7.7","","23.3","","-5.0","","121.2","","0.3","","121.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-11","1881","11","4.4","","-4.4","","0.0","","17.2","","-21.1","","31.8","","24.1","","55.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1881-12","1881","12","2.0","","-6.2","","-2.1","","10.6","","-18.3","","82.6","","7.4","","89.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-01","1882","01","-5.9","","-15.7","","-10.8","","5.6","","-32.2","","15.5","","71.6","","87.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-02","1882","02","-2.3","","-10.8","","-6.6","","7.8","","-22.8","","14.7","","58.9","","73.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-03","1882","03","0.7","","-7.7","","-3.5","","8.3","","-17.2","","62.5","","38.6","","101.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-04","1882","04","5.9","","-1.8","","2.1","","13.9","","-10.6","","39.9","","8.4","","48.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-05","1882","05","15.2","","5.2","","10.2","","20.0","S","-2.8","","38.1","","1.3","","39.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-06","1882","06","22.1","","12.5","","17.3","","30.6","","6.7","","120.1","","0.0","","120.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-07","1882","07","24.5","","16.1","","20.3","","29.4","S","10.6","S","153.4","","0.0","","153.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-08","1882","08","25.3","","15.3","","20.3","","32.8","","8.9","","64.0","","0.0","","64.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-09","1882","09","19.0","","10.8","","14.9","","26.1","","5.0","","92.2","","0.0","","92.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-10","1882","10","14.4","","6.1","","10.3","","23.9","","-0.6","","34.0","","0.0","","34.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-11","1882","11","2.9","","-3.3","","-0.2","","16.1","","-10.0","","35.3","","2.5","","37.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1882-12","1882","12","-4.8","","-11.8","","-8.3","","2.8","S","-20.6","","0.8","","101.1","","101.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-01","1883","01","-8.6","","-18.9","","-13.8","","3.9","","-28.9","S","8.6","","51.3","","59.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-02","1883","02","-5.7","","-15.0","","-10.4","","6.7","","-24.4","","13.0","","44.2","","57.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-03","1883","03","-3.3","","-14.2","","-8.8","","6.1","","-23.3","","1.0","","90.2","","91.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-04","1883","04","6.9","","-1.3","","2.8","","17.2","","-11.7","","21.3","","17.0","","38.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-05","1883","05","15.4","","6.1","","10.8","","27.8","","0.6","","158.0","","0.0","T","158.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-06","1883","06","23.8","","14.5","","19.2","","28.9","","7.8","","87.6","","0.0","","87.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-07","1883","07","24.4","","15.1","","19.8","","28.3","S","8.9","","119.9","","0.0","","119.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-08","1883","08","23.9","","14.7","","19.3","","30.0","","7.8","","40.6","","0.0","","40.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-09","1883","09","18.5","","8.9","","13.7","","26.1","","2.2","","90.7","","0.0","","90.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-10","1883","10","10.3","","2.9","","6.6","","20.6","","-4.4","","63.2","","0.0","","63.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-11","1883","11","5.0","","-2.2","","1.4","","19.4","","-15.0","","52.1","","30.7","","82.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1883-12","1883","12","-4.2","","-13.7","","-9.0","","8.9","","-28.3","","26.2","","59.7","","85.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1884-01","1884","01","-9.4","","-18.7","","-14.1","","5.0","","-27.2","","5.8","","112.0","","117.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1884-02","1884","02","-3.4","","-13.2","","-8.3","","6.7","","-23.9","","55.4","","74.4","","129.8","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1884-03","1884","03","-0.4","","-8.2","","-4.3","","8.3","","-22.8","","33.5","","53.1","","86.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1884-04","1884","04","9.0","","1.2","","5.1","","20.6","","-3.9","S","54.1","","8.9","","63.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1884-05","1884","05","16.4","","6.6","","11.5","","24.4","S","1.1","","89.2","","0.0","","89.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1884-06","1884","06","25.4","","13.9","","19.7","","30.0","S","6.7","S","85.9","","0.0","","85.9","","","","","","",""
