"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","1999-01-01","1999","01","01","","-17.3","","-23.1","","-20.2","","38.2","","0.0","","","M","","M","1.2","","","","27","","32",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-02","1999","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-03","1999","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-04","1999","01","04","","-3.0","","-15.3","","-9.2","","27.2","","0.0","","","M","","M","1.3","","","","21","","37",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-05","1999","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-06","1999","01","06","","-5.8","","-9.4","","-7.6","","25.6","","0.0","","","M","","M","2.8","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-07","1999","01","07","","-4.6","","-16.3","","-10.5","","28.5","","0.0","","","M","","M","1.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-08","1999","01","08","","-6.5","","-14.8","","-10.7","","28.7","","0.0","","","M","","M","5.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-09","1999","01","09","","-7.3","","-11.4","","-9.4","","27.4","","0.0","","","M","","M","16.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-10","1999","01","10","","-9.4","","-16.3","","-12.9","","30.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-11","1999","01","11","","-8.3","","-20.4","","-14.4","","32.4","","0.0","","","M","","M","1.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-12","1999","01","12","","-11.2","","-20.0","","-15.6","","33.6","","0.0","","","M","","M","3.7","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-13","1999","01","13","","-11.6","","-26.2","","-18.9","","36.9","","0.0","","","M","","M","3.7","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-14","1999","01","14","","-15.8","","-27.8","","-21.8","","39.8","","0.0","","","M","","M","3.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-15","1999","01","15","","-8.7","","-15.8","","-12.3","","30.3","","0.0","","","M","","M","34.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-16","1999","01","16","","2.6","","-13.0","","-5.2","","23.2","","0.0","","","M","","M","4.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-17","1999","01","17","","4.6","","-0.8","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-18","1999","01","18","","5.6","","-0.1","","2.8","","15.2","","0.0","","","M","","M","15.7","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-19","1999","01","19","","2.2","","0.3","","1.3","","16.7","","0.0","","","M","","M","1.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-20","1999","01","20","","0.9","","-3.4","","-1.3","","19.3","","0.0","","","M","","M","","M","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-21","1999","01","21","","-3.4","","-6.2","","-4.8","","22.8","","0.0","","","M","","M","1.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-22","1999","01","22","","-1.8","","-9.1","","-5.5","","23.5","","0.0","","","M","","M","5.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-23","1999","01","23","","7.8","","-1.8","","3.0","","15.0","","0.0","","","M","","M","12.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-24","1999","01","24","","9.4","","-3.5","","3.0","","15.0","","0.0","","","M","","M","4.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-25","1999","01","25","","-3.5","","-8.1","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-26","1999","01","26","","-0.5","","-8.9","","-4.7","","22.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-27","1999","01","27","","-2.2","","-12.1","","-7.2","","25.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-28","1999","01","28","","-11.5","","-14.4","","-13.0","","31.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-29","1999","01","29","","-9.0","","-15.5","","-12.3","","30.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-30","1999","01","30","","-7.2","","-14.0","","-10.6","","28.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-01-31","1999","01","31","","-7.7","","-15.0","","-11.4","","29.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-02-01","1999","02","01","","0.6","","-9.3","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","1999-02-02","1999","02","02","","4.6","","-7.4","","-1.4","","19.4","","0.0","","","M","","M","20.8","","","","","","<31",""
