"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2012-01-01","2012","01","01","","5.5","","-1.9","","1.8","","16.2","","0.0","","","M","","M","1.2","","","","23","","32",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-02","2012","01","02","","4.9","","-10.0","","-2.6","","20.6","","0.0","","","M","","M","0.0","","","","21","","39",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-03","2012","01","03","","-9.9","","-17.9","","-13.9","","31.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-04","2012","01","04","","-6.2","","-18.8","","-12.5","","30.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-05","2012","01","05","","-3.1","","-11.1","","-7.1","","25.1","","0.0","","","M","","M","1.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-06","2012","01","06","","-7.6","","-13.3","","-10.5","","28.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-07","2012","01","07","","0.6","","-7.6","","-3.5","","21.5","","0.0","","","M","","M","2.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-08","2012","01","08","","-0.3","","-8.6","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-09","2012","01","09","","1.9","","-8.7","","-3.4","","21.4","","0.0","","","M","","M","0.0","","","","20","","32",""
"-73.58","45.50","MCTAVISH","7024745","2012-01-10","2012","01","10","","3.5","","-11.6","","-4.1","","22.1","","0.0","","","M","","M","1.2","","","","36","","32",""
