"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2010-01-01","2010","01","01","","-2.9","","-4.7","","-3.8","","21.8","","0.0","","","M","","M","4.8","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-02","2010","01","02","","-3.8","","-10.9","","-7.4","","25.4","","0.0","","","M","","M","5.2","","","","27","","33",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-03","2010","01","03","","-4.8","","-11.5","","-8.2","","26.2","","0.0","","","M","","M","11.6","","","","27","","43",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-04","2010","01","04","","-5.1","","-8.5","","-6.8","","24.8","","0.0","","","M","","M","1.0","","","","22","","32",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-05","2010","01","05","","-4.9","","-8.5","","-6.7","","24.7","","0.0","","","M","","M","2.2","","","","28","","32",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-06","2010","01","06","","-4.4","","-6.1","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","28","","33",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-07","2010","01","07","","-4.8","","-7.3","","-6.1","","24.1","","0.0","","","M","","M","1.0","","","","28","","33",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-08","2010","01","08","","-6.2","","-10.7","","-8.5","","26.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-09","2010","01","09","","-10.4","","-15.4","","-12.9","","30.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-10","2010","01","10","","-4.7","","-16.5","","-10.6","","28.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2010-01-11","2010","01","11","","-3.3","","-6.3","","-4.8","","22.8","","0.0","","","M","","M","0.0","","","","","","<31",""
